,user_id,user_created_at,device,sex,home_pg,search_pg,payment_pg,confirmation_pg
58434,684087,2015-01-29,Desktop,Male,1,1,0,0
58648,725106,2015-01-29,Desktop,Male,1,0,0,0
58884,846643,2015-01-29,Desktop,Male,1,0,0,0
59312,339969,2015-01-29,Mobile,Female,1,0,0,0
59670,571337,2015-01-29,Desktop,Male,1,1,0,0
59756,511519,2015-01-29,Mobile,Male,1,1,0,0
59793,885197,2015-01-29,Mobile,Female,1,1,0,0
59850,928337,2015-01-29,Desktop,Male,1,0,0,0
60223,672707,2015-01-29,Desktop,Male,1,1,0,0
60301,705715,2015-01-29,Mobile,Female,1,1,0,0
60311,244839,2015-01-29,Desktop,Female,1,0,0,0
60316,16433,2015-01-29,Desktop,Male,1,1,0,0
60512,810708,2015-01-29,Desktop,Male,1,0,0,0
60625,161111,2015-01-29,Desktop,Male,1,1,0,0
60661,213665,2015-01-29,Mobile,Male,1,1,0,0
60793,627008,2015-01-29,Mobile,Female,1,0,0,0
60906,199181,2015-01-29,Mobile,Male,1,0,0,0
61064,875108,2015-01-29,Desktop,Female,1,1,0,0
61067,406831,2015-01-29,Desktop,Female,1,0,0,0
61163,612784,2015-01-29,Desktop,Male,1,0,0,0
61186,131661,2015-01-29,Mobile,Female,1,1,0,0
61306,781657,2015-01-29,Desktop,Male,1,1,0,0
61354,131426,2015-01-29,Desktop,Male,1,0,0,0
61388,328155,2015-01-29,Mobile,Female,1,1,1,0
61501,885513,2015-01-29,Desktop,Male,1,0,0,0
61533,280460,2015-01-29,Desktop,Male,1,1,1,0
61619,855501,2015-01-29,Desktop,Male,1,1,0,0
61624,263653,2015-01-29,Desktop,Female,1,1,0,0
61828,58121,2015-01-29,Desktop,Female,1,0,0,0
61883,185467,2015-01-29,Mobile,Male,1,1,0,0
61963,141068,2015-01-29,Mobile,Male,1,1,0,0
61992,680514,2015-01-29,Desktop,Female,1,1,0,0
62127,657373,2015-01-29,Mobile,Female,1,0,0,0
62131,412470,2015-01-29,Mobile,Male,1,0,0,0
62266,257075,2015-01-29,Mobile,Male,1,1,1,0
62351,418213,2015-01-29,Desktop,Male,1,0,0,0
62363,101921,2015-01-29,Mobile,Male,1,1,0,0
62577,405577,2015-01-29,Desktop,Male,1,0,0,0
63012,290514,2015-01-29,Desktop,Female,1,1,1,0
63036,566009,2015-01-29,Desktop,Female,1,0,0,0
63077,808032,2015-01-29,Desktop,Male,1,0,0,0
63149,150404,2015-01-29,Desktop,Male,1,0,0,0
63217,470914,2015-01-29,Desktop,Male,1,1,0,0
63312,707570,2015-01-29,Mobile,Female,1,1,0,0
63621,675188,2015-01-29,Desktop,Male,1,1,0,0
63989,311217,2015-01-29,Desktop,Male,1,0,0,0
64062,363044,2015-01-29,Desktop,Female,1,1,1,0
64127,538484,2015-01-29,Desktop,Male,1,0,0,0
64181,125540,2015-01-29,Desktop,Male,1,1,0,0
64269,696332,2015-01-29,Desktop,Male,1,1,0,0
64317,226356,2015-01-29,Desktop,Male,1,0,0,0
64330,274030,2015-01-29,Desktop,Male,1,0,0,0
64779,163344,2015-01-29,Desktop,Female,1,1,0,0
64868,215569,2015-01-29,Desktop,Male,1,0,0,0
64954,956222,2015-01-29,Desktop,Female,1,1,0,0
64997,886223,2015-01-29,Mobile,Female,1,1,0,0
65016,591724,2015-01-29,Desktop,Male,1,0,0,0
65058,276171,2015-01-29,Desktop,Male,1,1,0,0
65194,473191,2015-01-29,Mobile,Female,1,0,0,0
65401,126120,2015-01-29,Desktop,Male,1,1,1,0
65569,374065,2015-01-29,Desktop,Male,1,0,0,0
65587,13583,2015-01-29,Desktop,Female,1,0,0,0
65823,670632,2015-01-29,Mobile,Female,1,1,0,0
65891,495643,2015-01-29,Desktop,Male,1,1,0,0
65907,290853,2015-01-29,Desktop,Female,1,0,0,0
65973,951204,2015-01-29,Desktop,Male,1,0,0,0
65974,227958,2015-01-29,Desktop,Female,1,1,0,0
66030,495047,2015-01-29,Desktop,Female,1,1,1,0
66147,953748,2015-01-29,Mobile,Male,1,1,1,0
66251,226203,2015-01-29,Desktop,Female,1,0,0,0
66447,514680,2015-01-29,Desktop,Male,1,1,0,0
66485,551956,2015-01-29,Desktop,Male,1,0,0,0
66644,443822,2015-01-29,Mobile,Male,1,1,0,0
66719,178753,2015-01-29,Mobile,Female,1,1,0,0
66728,508554,2015-01-29,Mobile,Male,1,1,0,0
66826,721201,2015-01-29,Mobile,Male,1,1,1,0
67261,723525,2015-01-29,Mobile,Female,1,0,0,0
67305,921625,2015-01-29,Desktop,Male,1,0,0,0
67456,124382,2015-01-29,Desktop,Female,1,1,0,0
67495,514196,2015-01-29,Desktop,Male,1,0,0,0
67685,96343,2015-01-29,Desktop,Male,1,1,0,0
67789,263314,2015-01-29,Mobile,Male,1,1,0,0
67890,562867,2015-01-29,Desktop,Male,1,1,0,0
67930,689754,2015-01-29,Mobile,Male,1,1,0,0
67978,953908,2015-01-29,Desktop,Male,1,1,0,0
68055,388110,2015-01-29,Desktop,Male,1,0,0,0
68181,742613,2015-01-29,Desktop,Female,1,1,0,0
68245,358400,2015-01-29,Mobile,Female,1,1,0,0
68402,280294,2015-01-29,Desktop,Female,1,1,0,0
68604,431681,2015-01-29,Desktop,Male,1,1,0,0
68691,992175,2015-01-29,Desktop,Male,1,0,0,0
68762,994713,2015-01-29,Desktop,Female,1,0,0,0
68782,132171,2015-01-29,Mobile,Male,1,0,0,0
68900,247365,2015-01-29,Desktop,Male,1,0,0,0
68996,650650,2015-01-29,Desktop,Female,1,1,0,0
69107,184639,2015-01-29,Desktop,Male,1,1,0,0
69136,540436,2015-01-29,Desktop,Female,1,1,0,0
69140,162830,2015-01-29,Desktop,Female,1,0,0,0
69174,70923,2015-01-29,Desktop,Female,1,1,0,0
69220,395899,2015-01-29,Mobile,Male,1,1,0,0
69347,993007,2015-01-29,Desktop,Male,1,1,1,0
69502,461219,2015-01-29,Desktop,Female,1,1,0,0
69545,360191,2015-01-29,Desktop,Male,1,1,0,0
70157,400049,2015-01-29,Desktop,Female,1,0,0,0
70701,321333,2015-01-29,Desktop,Male,1,1,0,0
70788,576751,2015-01-29,Mobile,Male,1,1,0,0
70907,110294,2015-01-29,Desktop,Male,1,0,0,0
70980,714590,2015-01-29,Desktop,Male,1,1,1,0
70987,175396,2015-01-29,Desktop,Male,1,0,0,0
71136,900919,2015-01-29,Mobile,Female,1,1,0,0
71361,537564,2015-01-29,Desktop,Male,1,1,0,0
71484,410979,2015-01-29,Desktop,Female,1,0,0,0
71635,611003,2015-01-29,Desktop,Female,1,0,0,0
71890,56894,2015-01-29,Desktop,Male,1,0,0,0
71920,523930,2015-01-29,Mobile,Female,1,0,0,0
72049,343433,2015-01-29,Desktop,Female,1,0,0,0
72085,709468,2015-01-29,Mobile,Male,1,1,0,0
72172,906432,2015-01-29,Desktop,Female,1,0,0,0
72182,667117,2015-01-29,Mobile,Female,1,1,0,0
72217,590743,2015-01-29,Mobile,Female,1,1,0,0
72470,234838,2015-01-29,Desktop,Female,1,0,0,0
72648,884542,2015-01-29,Mobile,Female,1,1,0,0
72673,640420,2015-01-29,Desktop,Female,1,0,0,0
72704,694352,2015-01-29,Mobile,Male,1,1,0,0
72712,927029,2015-01-29,Mobile,Female,1,0,0,0
72730,660489,2015-01-29,Desktop,Female,1,1,0,0
72737,329099,2015-01-29,Desktop,Female,1,0,0,0
72857,487610,2015-01-29,Desktop,Male,1,1,0,0
72879,746352,2015-01-29,Desktop,Male,1,0,0,0
73081,374677,2015-01-29,Desktop,Female,1,0,0,0
73471,426163,2015-01-29,Mobile,Female,1,1,0,0
73563,422928,2015-01-29,Desktop,Male,1,1,1,0
73787,964895,2015-01-29,Mobile,Female,1,1,0,0
73790,163392,2015-01-29,Desktop,Female,1,1,0,0
73985,751191,2015-01-29,Desktop,Female,1,1,0,0
74018,203715,2015-01-29,Desktop,Male,1,0,0,0
74023,649352,2015-01-29,Desktop,Female,1,0,0,0
74103,911998,2015-01-29,Mobile,Female,1,1,0,0
74108,896796,2015-01-29,Mobile,Female,1,1,0,0
74572,742702,2015-01-29,Mobile,Female,1,1,0,0
74874,506243,2015-01-29,Mobile,Male,1,1,0,0
74962,649361,2015-01-29,Desktop,Male,1,1,1,0
75048,169458,2015-01-29,Mobile,Female,1,1,0,0
75161,672992,2015-01-29,Mobile,Female,1,0,0,0
75177,305050,2015-01-29,Desktop,Female,1,1,1,0
75183,287899,2015-01-29,Desktop,Female,1,1,0,0
75242,18398,2015-01-29,Desktop,Female,1,1,0,0
75510,285067,2015-01-29,Mobile,Male,1,1,0,0
75633,212159,2015-01-29,Mobile,Male,1,1,1,0
75700,410551,2015-01-29,Desktop,Female,1,0,0,0
75783,423853,2015-01-29,Desktop,Female,1,0,0,0
75819,484399,2015-01-29,Desktop,Male,1,0,0,0
76027,192507,2015-01-29,Mobile,Male,1,1,0,0
76412,79023,2015-01-29,Desktop,Female,1,1,0,0
76672,339380,2015-01-29,Desktop,Male,1,1,0,0
76704,700949,2015-01-29,Desktop,Male,1,0,0,0
76741,126467,2015-01-29,Desktop,Male,1,1,0,0
76894,283973,2015-01-29,Desktop,Female,1,0,0,0
77000,14985,2015-01-29,Desktop,Male,1,1,0,0
77148,148872,2015-01-29,Desktop,Male,1,0,0,0
77166,418291,2015-01-29,Desktop,Female,1,1,0,0
77177,835944,2015-01-29,Desktop,Male,1,0,0,0
77328,920925,2015-01-29,Mobile,Male,1,0,0,0
77804,707661,2015-01-29,Mobile,Male,1,1,0,0
77839,576007,2015-01-29,Desktop,Female,1,1,0,0
77845,332569,2015-01-29,Desktop,Female,1,0,0,0
77846,922359,2015-01-29,Desktop,Female,1,1,0,0
77869,509945,2015-01-29,Desktop,Male,1,1,0,0
77949,908348,2015-01-29,Desktop,Female,1,0,0,0
78009,283508,2015-01-29,Mobile,Female,1,1,0,0
78175,699081,2015-01-29,Desktop,Male,1,0,0,0
78231,90671,2015-01-29,Desktop,Female,1,1,0,0
78443,486583,2015-01-29,Desktop,Female,1,1,0,0
78826,990404,2015-01-29,Desktop,Male,1,0,0,0
78873,788735,2015-01-29,Desktop,Male,1,1,0,0
79173,316168,2015-01-29,Desktop,Female,1,1,0,0
79253,29005,2015-01-29,Desktop,Male,1,1,0,0
79292,864313,2015-01-29,Desktop,Female,1,1,0,0
79397,227758,2015-01-29,Mobile,Female,1,1,0,0
79427,592986,2015-01-29,Desktop,Female,1,0,0,0
79514,258993,2015-01-29,Desktop,Female,1,0,0,0
79527,625469,2015-01-29,Desktop,Female,1,0,0,0
79545,725323,2015-01-29,Mobile,Female,1,1,0,0
79803,545949,2015-01-29,Desktop,Female,1,0,0,0
79812,627869,2015-01-29,Mobile,Female,1,1,0,0
79941,411316,2015-01-29,Desktop,Female,1,0,0,0
79980,16487,2015-01-29,Mobile,Male,1,1,0,0
80032,371002,2015-01-29,Desktop,Female,1,0,0,0
80048,258515,2015-01-29,Desktop,Male,1,0,0,0
80283,397272,2015-01-29,Desktop,Male,1,1,0,0
80285,517566,2015-01-29,Desktop,Female,1,1,0,0
80319,597922,2015-01-29,Mobile,Female,1,1,0,0
80363,558880,2015-01-29,Desktop,Female,1,0,0,0
80504,441300,2015-01-29,Mobile,Female,1,1,0,0
80648,53770,2015-01-29,Desktop,Female,1,1,1,0
80740,824789,2015-01-29,Mobile,Female,1,0,0,0
80828,526293,2015-01-29,Mobile,Female,1,1,0,0
81042,254122,2015-01-29,Desktop,Male,1,0,0,0
81065,955896,2015-01-29,Mobile,Female,1,1,0,0
81175,572995,2015-01-29,Desktop,Male,1,0,0,0
81285,181701,2015-01-29,Mobile,Male,1,0,0,0
81425,397162,2015-01-29,Desktop,Female,1,0,0,0
81454,178062,2015-01-29,Desktop,Female,1,0,0,0
81632,637367,2015-01-29,Desktop,Male,1,1,0,0
81845,11924,2015-01-29,Mobile,Male,1,1,0,0
82370,719667,2015-01-29,Mobile,Male,1,0,0,0
82378,386149,2015-01-29,Desktop,Female,1,0,0,0
82569,774246,2015-01-29,Mobile,Female,1,1,0,0
82637,120044,2015-01-29,Desktop,Male,1,1,0,0
82991,572640,2015-01-29,Desktop,Female,1,1,0,0
83062,865338,2015-01-29,Mobile,Female,1,1,0,0
83132,364574,2015-01-29,Mobile,Male,1,1,0,0
83200,753125,2015-01-29,Desktop,Female,1,1,0,0
83385,494146,2015-01-29,Mobile,Male,1,1,0,0
83535,285176,2015-01-29,Desktop,Female,1,0,0,0
83794,942063,2015-01-29,Desktop,Female,1,0,0,0
83834,570787,2015-01-29,Mobile,Female,1,1,0,0
83874,601091,2015-01-29,Mobile,Female,1,1,1,0
83934,787213,2015-01-29,Desktop,Male,1,0,0,0
84298,813766,2015-01-29,Mobile,Female,1,0,0,0
84426,600943,2015-01-29,Desktop,Male,1,1,0,0
84662,375651,2015-01-29,Desktop,Male,1,0,0,0
84870,196269,2015-01-29,Desktop,Female,1,1,0,0
84965,609967,2015-01-29,Desktop,Male,1,0,0,0
85010,415736,2015-01-29,Desktop,Male,1,1,0,0
85051,211538,2015-01-29,Desktop,Male,1,0,0,0
85060,208533,2015-01-29,Desktop,Female,1,1,1,0
85105,998390,2015-01-29,Desktop,Male,1,0,0,0
85137,225991,2015-01-29,Desktop,Female,1,0,0,0
85260,707932,2015-01-29,Desktop,Female,1,1,0,0
85289,960330,2015-01-29,Desktop,Male,1,0,0,0
85553,357239,2015-01-29,Desktop,Female,1,1,0,0
85704,476768,2015-01-29,Desktop,Female,1,1,1,0
85737,404101,2015-01-29,Desktop,Male,1,0,0,0
85740,768474,2015-01-29,Mobile,Male,1,0,0,0
85950,896198,2015-01-29,Mobile,Male,1,1,0,0
86003,720820,2015-01-29,Mobile,Female,1,1,0,0
86044,844733,2015-01-29,Desktop,Female,1,0,0,0
86108,902149,2015-01-29,Desktop,Female,1,1,0,0
86290,658961,2015-01-29,Mobile,Male,1,1,0,0
86778,408965,2015-01-29,Desktop,Female,1,0,0,0
86970,230985,2015-01-29,Mobile,Male,1,1,0,0
87418,987362,2015-01-29,Desktop,Male,1,1,0,0
87526,86965,2015-01-29,Mobile,Female,1,1,1,0
87676,490657,2015-01-29,Desktop,Male,1,0,0,0
87811,599946,2015-01-29,Mobile,Male,1,1,0,0
87835,694786,2015-01-29,Desktop,Female,1,0,0,0
87939,392475,2015-01-29,Desktop,Female,1,0,0,0
88141,154319,2015-01-29,Desktop,Male,1,0,0,0
88146,507610,2015-01-29,Desktop,Male,1,1,0,0
88412,676467,2015-01-29,Desktop,Female,1,1,1,0
88455,98612,2015-01-29,Mobile,Female,1,0,0,0
88608,205966,2015-01-29,Desktop,Female,1,0,0,0
88687,760178,2015-01-29,Desktop,Female,1,0,0,0
88871,245797,2015-01-29,Mobile,Male,1,1,1,0
89060,186737,2015-01-29,Desktop,Male,1,1,0,0
89068,156642,2015-01-29,Mobile,Female,1,0,0,0
89123,425794,2015-01-29,Desktop,Male,1,1,0,0
89250,257185,2015-01-29,Desktop,Male,1,1,0,0
89428,646801,2015-01-29,Desktop,Female,1,1,1,0
89713,611260,2015-01-29,Desktop,Male,1,1,0,0
89792,479279,2015-01-29,Desktop,Male,1,1,0,0
89929,530154,2015-01-29,Mobile,Female,1,1,0,0
89979,619930,2015-01-29,Desktop,Female,1,1,1,0
90017,949924,2015-01-29,Mobile,Male,1,1,0,0
90099,767340,2015-01-29,Desktop,Male,1,1,0,0
90193,302714,2015-01-29,Desktop,Male,1,1,1,0
90218,227177,2015-01-29,Desktop,Male,1,1,0,0
90291,208269,2015-01-29,Mobile,Male,1,1,0,0
26,62655,2015-01-30,Desktop,Female,1,1,0,0
107,83581,2015-01-30,Desktop,Male,1,0,0,0
114,821176,2015-01-30,Desktop,Female,1,1,0,0
136,717441,2015-01-30,Mobile,Female,1,1,0,0
242,215864,2015-01-30,Desktop,Male,1,0,0,0
1069,438662,2015-01-30,Mobile,Male,1,0,0,0
1151,671914,2015-01-30,Desktop,Male,1,1,0,0
1277,782950,2015-01-30,Mobile,Female,1,1,0,0
1343,153712,2015-01-30,Desktop,Male,1,0,0,0
1670,535629,2015-01-30,Desktop,Female,1,0,0,0
1756,77781,2015-01-30,Mobile,Female,1,1,0,0
1957,891242,2015-01-30,Mobile,Male,1,1,0,0
2351,281763,2015-01-30,Desktop,Female,1,1,0,0
2489,677135,2015-01-30,Desktop,Female,1,1,0,0
2715,198357,2015-01-30,Desktop,Male,1,1,0,0
2737,51500,2015-01-30,Desktop,Female,1,0,0,0
2867,91729,2015-01-30,Mobile,Female,1,1,0,0
2923,91814,2015-01-30,Desktop,Female,1,0,0,0
2992,117181,2015-01-30,Desktop,Female,1,0,0,0
3014,597854,2015-01-30,Desktop,Female,1,0,0,0
3016,488486,2015-01-30,Desktop,Female,1,1,0,0
3596,667861,2015-01-30,Mobile,Female,1,1,0,0
3688,686015,2015-01-30,Mobile,Male,1,1,0,0
3796,830786,2015-01-30,Mobile,Male,1,1,1,0
3882,949314,2015-01-30,Desktop,Female,1,0,0,0
4058,965458,2015-01-30,Mobile,Male,1,1,0,0
4344,858141,2015-01-30,Desktop,Male,1,0,0,0
4399,284570,2015-01-30,Desktop,Male,1,0,0,0
4649,926982,2015-01-30,Mobile,Male,1,1,0,0
4702,597716,2015-01-30,Desktop,Female,1,0,0,0
4922,563418,2015-01-30,Mobile,Male,1,1,0,0
4989,339243,2015-01-30,Mobile,Male,1,1,1,0
5089,503467,2015-01-30,Mobile,Female,1,1,0,0
5113,46022,2015-01-30,Desktop,Female,1,1,0,0
5149,108846,2015-01-30,Desktop,Female,1,0,0,0
5183,689482,2015-01-30,Desktop,Female,1,1,0,0
5227,129952,2015-01-30,Desktop,Female,1,0,0,0
5349,839523,2015-01-30,Desktop,Female,1,0,0,0
5403,126271,2015-01-30,Mobile,Male,1,1,0,0
5620,232614,2015-01-30,Desktop,Female,1,0,0,0
5666,221683,2015-01-30,Mobile,Female,1,1,0,0
5758,605562,2015-01-30,Mobile,Male,1,1,0,0
5776,495646,2015-01-30,Mobile,Male,1,1,0,0
5830,511505,2015-01-30,Mobile,Female,1,1,0,0
6060,485465,2015-01-30,Desktop,Male,1,0,0,0
6187,27371,2015-01-30,Desktop,Female,1,1,1,0
6739,974084,2015-01-30,Desktop,Female,1,0,0,0
6834,790146,2015-01-30,Desktop,Male,1,0,0,0
6915,21751,2015-01-30,Mobile,Male,1,1,0,0
7026,546562,2015-01-30,Desktop,Female,1,0,0,0
7030,930752,2015-01-30,Mobile,Female,1,1,0,0
7239,198865,2015-01-30,Mobile,Male,1,1,0,0
7371,327673,2015-01-30,Mobile,Female,1,1,0,0
7394,575295,2015-01-30,Desktop,Female,1,1,0,0
7398,732640,2015-01-30,Desktop,Male,1,0,0,0
7502,110479,2015-01-30,Desktop,Female,1,0,0,0
7774,129204,2015-01-30,Desktop,Male,1,1,0,0
7850,831991,2015-01-30,Mobile,Female,1,1,0,0
7977,430547,2015-01-30,Desktop,Female,1,1,0,0
8146,890078,2015-01-30,Mobile,Male,1,1,0,0
8166,243865,2015-01-30,Mobile,Female,1,0,0,0
8206,586404,2015-01-30,Desktop,Male,1,1,1,0
8510,174661,2015-01-30,Mobile,Male,1,1,0,0
8539,524726,2015-01-30,Desktop,Male,1,1,0,0
8573,641361,2015-01-30,Desktop,Female,1,0,0,0
8658,921293,2015-01-30,Desktop,Female,1,1,1,0
8746,77864,2015-01-30,Desktop,Male,1,1,0,0
8904,250334,2015-01-30,Desktop,Female,1,1,0,0
8911,198640,2015-01-30,Desktop,Male,1,1,1,0
9008,465896,2015-01-30,Desktop,Male,1,1,0,0
9088,164991,2015-01-30,Desktop,Female,1,0,0,0
9095,617910,2015-01-30,Desktop,Male,1,1,0,0
9124,839110,2015-01-30,Desktop,Female,1,0,0,0
9196,688393,2015-01-30,Mobile,Female,1,0,0,0
9541,143153,2015-01-30,Desktop,Female,1,0,0,0
9580,245678,2015-01-30,Desktop,Male,1,1,0,0
9633,596857,2015-01-30,Desktop,Male,1,0,0,0
9681,620481,2015-01-30,Desktop,Male,1,1,0,0
9783,619070,2015-01-30,Desktop,Female,1,0,0,0
9880,409761,2015-01-30,Desktop,Male,1,1,0,0
10053,389410,2015-01-30,Desktop,Female,1,0,0,0
10240,245259,2015-01-30,Mobile,Male,1,1,0,0
10268,457734,2015-01-30,Desktop,Female,1,0,0,0
10643,615209,2015-01-30,Desktop,Male,1,1,0,0
10726,317974,2015-01-30,Desktop,Male,1,1,0,0
10743,578650,2015-01-30,Mobile,Female,1,1,0,0
11231,580604,2015-01-30,Desktop,Female,1,1,0,0
11332,371284,2015-01-30,Desktop,Male,1,1,0,0
11397,282001,2015-01-30,Desktop,Female,1,0,0,0
11518,533776,2015-01-30,Mobile,Male,1,1,0,0
11692,204755,2015-01-30,Mobile,Female,1,1,0,0
11837,21986,2015-01-30,Desktop,Male,1,0,0,0
11898,620364,2015-01-30,Desktop,Male,1,1,0,0
12170,246566,2015-01-30,Desktop,Male,1,0,0,0
12197,992855,2015-01-30,Desktop,Male,1,0,0,0
12444,664000,2015-01-30,Desktop,Female,1,1,0,0
12459,142608,2015-01-30,Desktop,Male,1,1,1,0
12591,673568,2015-01-30,Desktop,Male,1,1,0,0
12742,210194,2015-01-30,Desktop,Male,1,1,0,0
12993,739046,2015-01-30,Desktop,Male,1,0,0,0
13041,427412,2015-01-30,Desktop,Female,1,0,0,0
13158,602554,2015-01-30,Mobile,Female,1,1,1,0
13426,561534,2015-01-30,Desktop,Female,1,1,0,0
13536,716298,2015-01-30,Desktop,Male,1,1,0,0
13541,82838,2015-01-30,Desktop,Female,1,0,0,0
13811,114401,2015-01-30,Mobile,Male,1,1,1,0
13815,34717,2015-01-30,Desktop,Female,1,1,0,0
13956,617950,2015-01-30,Desktop,Male,1,0,0,0
13996,296252,2015-01-30,Desktop,Male,1,0,0,0
14038,275122,2015-01-30,Desktop,Female,1,0,0,0
14054,990864,2015-01-30,Mobile,Female,1,1,0,0
14082,763754,2015-01-30,Mobile,Male,1,1,0,0
14243,104168,2015-01-30,Desktop,Male,1,1,0,0
14337,37648,2015-01-30,Desktop,Male,1,1,0,0
14384,166052,2015-01-30,Mobile,Female,1,1,0,0
15001,500033,2015-01-30,Desktop,Female,1,1,0,0
15429,52660,2015-01-30,Desktop,Male,1,1,0,0
15585,633870,2015-01-30,Desktop,Male,1,1,0,0
15939,340477,2015-01-30,Desktop,Male,1,1,0,0
16118,337899,2015-01-30,Desktop,Female,1,0,0,0
16135,39372,2015-01-30,Desktop,Male,1,0,0,0
16286,56204,2015-01-30,Desktop,Male,1,0,0,0
16319,521733,2015-01-30,Mobile,Female,1,1,1,0
17218,322363,2015-01-30,Mobile,Male,1,1,0,0
17331,532609,2015-01-30,Desktop,Female,1,0,0,0
17402,57226,2015-01-30,Desktop,Female,1,0,0,0
17454,33788,2015-01-30,Desktop,Male,1,0,0,0
17509,425821,2015-01-30,Desktop,Female,1,1,0,0
17698,305216,2015-01-30,Desktop,Male,1,1,0,0
17876,770319,2015-01-30,Desktop,Male,1,1,0,0
17954,685372,2015-01-30,Desktop,Female,1,1,0,0
18241,677835,2015-01-30,Desktop,Male,1,0,0,0
18280,441186,2015-01-30,Desktop,Male,1,0,0,0
18281,687149,2015-01-30,Desktop,Female,1,0,0,0
18348,273717,2015-01-30,Desktop,Female,1,1,0,0
18410,630351,2015-01-30,Desktop,Male,1,1,0,0
18749,164125,2015-01-30,Mobile,Female,1,1,0,0
18767,354342,2015-01-30,Desktop,Female,1,0,0,0
18828,264043,2015-01-30,Desktop,Male,1,1,0,0
19339,15275,2015-01-30,Mobile,Male,1,1,0,0
19413,768500,2015-01-30,Desktop,Female,1,1,0,0
19580,89185,2015-01-30,Desktop,Male,1,0,0,0
19939,292889,2015-01-30,Mobile,Male,1,1,0,0
19990,318257,2015-01-30,Desktop,Female,1,1,0,0
20080,193077,2015-01-30,Desktop,Female,1,1,0,0
20108,347799,2015-01-30,Desktop,Female,1,1,0,0
20143,912870,2015-01-30,Desktop,Female,1,0,0,0
20228,744972,2015-01-30,Mobile,Male,1,1,0,0
20300,712998,2015-01-30,Desktop,Male,1,0,0,0
20314,995908,2015-01-30,Desktop,Female,1,1,0,0
20318,700388,2015-01-30,Desktop,Female,1,0,0,0
20339,197620,2015-01-30,Mobile,Female,1,1,0,0
20453,335307,2015-01-30,Mobile,Male,1,1,0,0
20619,283774,2015-01-30,Desktop,Female,1,0,0,0
20765,919160,2015-01-30,Desktop,Female,1,1,1,0
20768,38344,2015-01-30,Desktop,Male,1,0,0,0
20821,140460,2015-01-30,Mobile,Female,1,1,0,0
20989,665108,2015-01-30,Desktop,Male,1,0,0,0
21115,329734,2015-01-30,Desktop,Female,1,1,0,0
21186,265232,2015-01-30,Mobile,Male,1,1,0,0
21584,744399,2015-01-30,Desktop,Female,1,0,0,0
21640,496582,2015-01-30,Desktop,Male,1,0,0,0
21838,299504,2015-01-30,Desktop,Male,1,1,0,0
21904,821918,2015-01-30,Desktop,Male,1,0,0,0
22306,875162,2015-01-30,Mobile,Female,1,1,1,0
22712,225391,2015-01-30,Desktop,Male,1,1,0,0
22777,112065,2015-01-30,Mobile,Female,1,1,1,0
22796,853754,2015-01-30,Desktop,Male,1,1,0,0
22834,935867,2015-01-30,Mobile,Female,1,0,0,0
22875,105012,2015-01-30,Desktop,Male,1,0,0,0
22930,737175,2015-01-30,Desktop,Male,1,1,0,0
22991,769763,2015-01-30,Desktop,Male,1,0,0,0
23074,447057,2015-01-30,Desktop,Female,1,0,0,0
23182,394210,2015-01-30,Desktop,Male,1,0,0,0
23235,600304,2015-01-30,Desktop,Male,1,1,0,0
23582,163538,2015-01-30,Desktop,Male,1,1,0,0
23609,441263,2015-01-30,Mobile,Male,1,1,0,0
23688,307927,2015-01-30,Desktop,Female,1,1,0,0
23715,42876,2015-01-30,Mobile,Female,1,1,0,0
23741,936056,2015-01-30,Mobile,Male,1,1,0,0
23979,484968,2015-01-30,Mobile,Male,1,1,0,0
24109,248221,2015-01-30,Desktop,Male,1,0,0,0
24131,281050,2015-01-30,Mobile,Male,1,1,0,0
24186,707567,2015-01-30,Desktop,Male,1,0,0,0
24224,370855,2015-01-30,Desktop,Male,1,0,0,0
24638,421584,2015-01-30,Mobile,Female,1,1,0,0
24830,242520,2015-01-30,Mobile,Female,1,0,0,0
24843,175385,2015-01-30,Desktop,Female,1,0,0,0
24972,800668,2015-01-30,Desktop,Female,1,0,0,0
25193,59292,2015-01-30,Desktop,Female,1,0,0,0
25195,405263,2015-01-30,Mobile,Female,1,1,0,0
25218,598056,2015-01-30,Desktop,Male,1,1,0,0
25264,509465,2015-01-30,Desktop,Male,1,1,0,0
25313,567894,2015-01-30,Desktop,Male,1,1,0,0
25686,507874,2015-01-30,Mobile,Female,1,1,0,0
25967,672031,2015-01-30,Desktop,Male,1,0,0,0
25986,272307,2015-01-30,Desktop,Male,1,0,0,0
26067,221294,2015-01-30,Desktop,Male,1,0,0,0
26493,340288,2015-01-30,Desktop,Male,1,0,0,0
26545,275406,2015-01-30,Mobile,Female,1,1,1,0
26689,227121,2015-01-30,Mobile,Male,1,1,0,0
26967,145859,2015-01-30,Desktop,Female,1,0,0,0
27041,876805,2015-01-30,Desktop,Male,1,1,0,0
27068,449533,2015-01-30,Desktop,Female,1,0,0,0
27164,561326,2015-01-30,Desktop,Male,1,0,0,0
27416,237121,2015-01-30,Desktop,Female,1,0,0,0
27442,798059,2015-01-30,Desktop,Male,1,0,0,0
27518,593777,2015-01-30,Desktop,Female,1,1,0,0
27549,956643,2015-01-30,Mobile,Male,1,1,0,0
27737,138972,2015-01-30,Desktop,Male,1,1,1,0
28141,233168,2015-01-30,Desktop,Male,1,0,0,0
28372,639329,2015-01-30,Desktop,Female,1,0,0,0
